condiciones,n_condiciones,n,pct_continuacion,pct_falla,pct_neutro,mfe_post_avg,mfe_post_med,cont_ratio_avg,mae_falla_avg,mins_cont_avg,or_duration_min
OR_grande(top40%) + Retest<=10min + VolRatio_p40-p60,3,44,75.0,22.7,2.3,0.4083,0.3627,1.3331,0.6328,9.4,5
OR_grande(top40%) + Retest<=10min + VolRatio_p40-p60 + Sesgo_alineado,4,30,83.3,16.7,0.0,0.3741,0.3708,1.3945,0.9147,11.4,10
Retest<=10min + Sesgo_alineado,2,130,71.5,17.7,10.8,0.3416,0.3076,1.2766,0.9886,11.4,15
OR_grande(top40%) + Retest<=10min + VolRatio_p40-p60,3,39,74.4,15.4,10.3,0.3646,0.3344,1.2713,1.4347,7.8,20
Retest<=10min + VolRatio_p40-p60,2,48,77.1,10.4,12.5,0.3342,0.2965,1.1942,0.7454,14.8,25
OR_grande(top40%) + Retest<=10min + VolRatio_p40-p60,3,39,74.4,7.7,17.9,0.3912,0.3344,1.2931,0.9907,16.1,30
OR_grande(top40%) + Retest<=10min + VolRatio_p40-p60,3,35,85.7,0.0,14.3,0.3543,0.3399,1.2187,,12.9,35
OR_grande(top40%) + Retest<=10min,2,110,80.9,6.4,12.7,0.3676,0.3122,1.2935,1.1707,11.2,40
Retest<=10min + VolRatio_p40-p60,2,36,80.6,2.8,16.7,0.3397,0.3363,1.1766,0.6688,13.8,45
Retest<=10min + Sesgo_alineado,2,106,76.4,2.8,20.8,0.3144,0.2908,1.2011,1.2415,12.9,50
Retest<=10min + MFE_pre_0.3-0.5%,2,35,74.3,5.7,20.0,0.422,0.4,1.2381,0.7075,12.0,55
OR_grande(top40%) + Retest<=10min + Sesgo_alineado,3,65,75.4,3.1,21.5,0.3448,0.3128,1.2618,1.4806,10.7,60
OR_grande(top40%) + Retest<=10min + Sesgo_alineado,3,49,73.5,0.0,26.5,0.3972,0.3248,1.3213,,12.8,65
OR_grande(top40%) + Retest<=10min + Sesgo_alineado,3,38,78.9,0.0,21.1,0.3284,0.2834,1.2264,,11.6,70
OR_grande(top40%) + Retest<=10min + Sesgo_alineado,3,42,76.2,0.0,23.8,0.3295,0.2834,1.1633,,13.6,75
OR_grande(top40%) + Retest<=10min + Sesgo_alineado,3,43,74.4,0.0,25.6,0.3137,0.3014,1.1948,,15.8,80
OR_grande(top40%) + Retest<=10min + Sesgo_alineado,3,43,62.8,2.3,34.9,0.3106,0.2827,1.188,3.8379,13.9,85
OR_grande(top40%) + Retest<=10min + Sesgo_alineado,3,39,66.7,2.6,30.8,0.3174,0.2968,1.2048,3.8379,16.8,90
OR_grande(top40%) + Retest<=10min,2,59,59.3,5.1,35.6,0.3889,0.3102,1.307,2.4522,16.0,95
OR_grande(top40%) + MFE_pre_0.3-0.5% + VolRatio_p40-p60,3,31,64.5,0.0,35.5,0.4328,0.4204,1.1882,,20.6,100
OR_grande(top40%) + VolRatio_p40-p60,2,68,58.8,2.9,38.2,0.3664,0.3473,1.1581,1.8504,24.6,105
OR_grande(top40%) + VolRatio_p40-p60,2,68,69.1,1.5,29.4,0.3991,0.3568,1.1574,2.0588,24.4,110
OR_grande(top40%) + VolRatio_p40-p60,2,68,70.6,1.5,27.9,0.3809,0.3434,1.1605,2.0588,21.1,115
OR_grande(top40%) + Retest<=10min,2,52,67.3,3.8,28.8,0.3761,0.3161,1.2927,1.7594,12.1,120
