or_duration_min,quintil_or_size,or_size_pct_min,or_size_pct_max,or_size_pct_median,n_dias,pct_up,pct_down,avg_mfe_pct,median_mfe_pct,avg_mfe_pts,avg_breakout_minute,avg_breakout_strength,avg_close_pos_en_ups,avg_close_pos_en_downs
5,Q1_mini,0.0537,0.1827,0.1511,427,50.6,49.4,0.4212,0.319,1.1191,6.5,0.0701,0.674,0.343
5,Q2_pequeño,0.1829,0.2471,0.2188,426,55.6,44.4,0.5535,0.42,1.8619,7.1,0.0104,0.716,0.312
5,Q3_medio,0.2474,0.3197,0.2812,426,52.1,47.9,0.6567,0.512,2.2682,7.2,0.0179,0.729,0.292
5,Q4_grande,0.3198,0.4362,0.3705,426,54.5,45.5,0.8723,0.6554,2.86,7.4,0.0241,0.709,0.235
5,Q5_enorme,0.4365,1.9532,0.5454,427,50.4,49.6,1.1899,0.8922,3.636,7.1,0.0309,0.747,0.254
10,Q1_mini,0.0861,0.2452,0.1993,428,53.5,46.5,0.3904,0.287,1.2107,14.7,0.0365,0.663,0.392
10,Q2_pequeño,0.2464,0.3258,0.287,425,53.6,46.4,0.5372,0.3944,1.9222,15.3,0.031,0.715,0.342
10,Q3_medio,0.3264,0.4257,0.374,426,54.7,45.3,0.6205,0.4724,2.0235,15.8,0.0086,0.71,0.324
10,Q4_grande,0.4258,0.5766,0.4928,426,51.6,48.4,0.8335,0.6654,2.6232,16.8,0.0191,0.714,0.305
10,Q5_enorme,0.5781,2.4074,0.7283,426,48.4,51.6,1.082,0.8029,3.2856,16.9,0.0198,0.748,0.275
15,Q1_mini,0.1151,0.279,0.2282,426,50.7,49.3,0.4095,0.3036,1.2843,22.1,0.0418,0.658,0.402
15,Q2_pequeño,0.2791,0.3736,0.3261,426,54.0,46.0,0.5317,0.427,1.8185,21.8,0.032,0.703,0.335
15,Q3_medio,0.3737,0.4857,0.4266,426,53.8,46.2,0.5932,0.4342,1.9334,25.3,0.0223,0.716,0.34
15,Q4_grande,0.4858,0.6615,0.573,426,51.9,48.1,0.7362,0.565,2.3386,24.8,0.0217,0.722,0.302
15,Q5_enorme,0.6625,2.65,0.8688,426,49.5,50.5,1.1523,0.8947,3.5017,24.0,0.0162,0.733,0.248
20,Q1_mini,0.121,0.3141,0.2506,427,49.4,50.6,0.4136,0.3215,1.2259,28.8,0.0383,0.678,0.352
20,Q2_pequeño,0.3142,0.419,0.3704,424,56.1,43.9,0.518,0.3842,1.8146,32.1,0.0204,0.685,0.346
20,Q3_medio,0.4192,0.5487,0.4743,425,54.4,45.6,0.5995,0.4682,1.9737,33.4,0.0293,0.713,0.314
20,Q4_grande,0.5492,0.758,0.6341,425,51.3,48.7,0.7334,0.5618,2.2812,32.6,0.0176,0.717,0.301
20,Q5_enorme,0.7581,2.7667,0.9598,426,47.4,52.6,1.0863,0.8304,3.3598,32.6,0.0223,0.752,0.248
25,Q1_mini,0.1218,0.3427,0.2714,425,51.5,48.5,0.3822,0.3076,1.1425,37.2,0.02,0.679,0.358
25,Q2_pequeño,0.343,0.4578,0.3989,426,58.9,41.1,0.517,0.3894,1.7799,42.3,0.0165,0.693,0.363
25,Q3_medio,0.4579,0.6026,0.5198,423,56.7,43.3,0.5537,0.4338,1.8892,42.2,0.0233,0.693,0.306
25,Q4_grande,0.6027,0.8267,0.6913,425,52.2,47.8,0.7411,0.5744,2.3565,41.1,0.0145,0.719,0.287
25,Q5_enorme,0.8273,3.5339,1.0485,425,48.5,51.5,1.0532,0.8307,3.2309,42.2,0.0156,0.745,0.247
30,Q1_mini,0.1218,0.3611,0.2875,424,53.3,46.7,0.3822,0.299,1.1754,45.1,0.0208,0.69,0.391
30,Q2_pequeño,0.362,0.4834,0.4218,424,58.3,41.7,0.4877,0.3413,1.688,50.0,0.0281,0.691,0.37
30,Q3_medio,0.4835,0.6341,0.5517,422,58.3,41.7,0.5437,0.427,1.8237,47.9,0.0243,0.741,0.305
30,Q4_grande,0.6345,0.865,0.7342,423,52.2,47.8,0.7321,0.567,2.3508,47.7,0.0221,0.722,0.306
30,Q5_enorme,0.8653,3.7377,1.1063,424,47.6,52.4,1.0424,0.8242,3.1929,51.2,0.0178,0.742,0.269
