subperiodo,combinacion,n,pct_continuacion,pct_falla,mfe_post_avg
TOTAL,OR_grande(top40%) + Retest<=10min + VolRatio_p40-p60,589,73.2,7.6,0.3496
TOTAL,Retest<=10min + VolRatio_p40-p60,810,72.0,8.9,0.3389
TOTAL,OR_grande(top40%) + Retest<=10min,2256,69.3,10.2,0.3782
TOTAL,OR_grande(top40%) + Retest<=10min + VolRatio_p40-p60 + Sesgo_alineado,391,73.1,6.9,0.3459
TOTAL,Retest<=10min + VolRatio_p40-p60 + Sesgo_alineado,507,72.2,7.7,0.3333
P1_2017_2019,OR_grande(top40%) + Retest<=10min + VolRatio_p40-p60,28,60.7,3.6,0.3363
P1_2017_2019,Retest<=10min + VolRatio_p40-p60,65,60.0,6.2,0.3054
P1_2017_2019,OR_grande(top40%) + Retest<=10min,297,62.6,13.5,0.3384
P1_2017_2019,OR_grande(top40%) + Retest<=10min + VolRatio_p40-p60 + Sesgo_alineado,20,70.0,5.0,0.3478
P1_2017_2019,Retest<=10min + VolRatio_p40-p60 + Sesgo_alineado,40,67.5,5.0,0.3085
P2_2020_COVID,OR_grande(top40%) + Retest<=10min + VolRatio_p40-p60,127,81.9,7.9,0.3434
P2_2020_COVID,Retest<=10min + VolRatio_p40-p60,157,84.1,6.4,0.3389
P2_2020_COVID,OR_grande(top40%) + Retest<=10min,495,72.3,9.1,0.3928
P2_2020_COVID,OR_grande(top40%) + Retest<=10min + VolRatio_p40-p60 + Sesgo_alineado,82,79.3,7.3,0.3312
P2_2020_COVID,Retest<=10min + VolRatio_p40-p60 + Sesgo_alineado,94,79.8,6.4,0.3264
P3_2021_bull,OR_grande(top40%) + Retest<=10min + VolRatio_p40-p60,45,71.1,17.8,0.295
P3_2021_bull,Retest<=10min + VolRatio_p40-p60,65,69.2,15.4,0.2927
P3_2021_bull,OR_grande(top40%) + Retest<=10min,136,66.2,14.0,0.3097
P3_2021_bull,OR_grande(top40%) + Retest<=10min + VolRatio_p40-p60 + Sesgo_alineado,42,71.4,16.7,0.2892
P3_2021_bull,Retest<=10min + VolRatio_p40-p60 + Sesgo_alineado,52,73.1,15.4,0.2844
P4_2022_bear,OR_grande(top40%) + Retest<=10min + VolRatio_p40-p60,244,73.0,8.2,0.3599
P4_2022_bear,Retest<=10min + VolRatio_p40-p60,289,70.6,10.0,0.3509
P4_2022_bear,OR_grande(top40%) + Retest<=10min,803,72.0,10.2,0.3465
P4_2022_bear,OR_grande(top40%) + Retest<=10min + VolRatio_p40-p60 + Sesgo_alineado,156,72.4,7.1,0.3582
P4_2022_bear,Retest<=10min + VolRatio_p40-p60 + Sesgo_alineado,183,71.6,8.2,0.3491
P5_2023_2024,OR_grande(top40%) + Retest<=10min + VolRatio_p40-p60,56,80.4,7.1,0.3546
P5_2023_2024,Retest<=10min + VolRatio_p40-p60,109,80.7,8.3,0.3412
P5_2023_2024,OR_grande(top40%) + Retest<=10min,196,69.9,10.2,0.3305
P5_2023_2024,OR_grande(top40%) + Retest<=10min + VolRatio_p40-p60 + Sesgo_alineado,43,79.1,4.7,0.3564
P5_2023_2024,Retest<=10min + VolRatio_p40-p60 + Sesgo_alineado,70,77.1,7.1,0.3393
